ano,mês,dia,subpref_sigla,subpref,lat,long,via,referencia,sentido,fonte,precipitacao
2020,11,30,PI,PINHEIROS,-23.588199,-46.690533,AV. DAS NACOES UNIDAS (ALTO DE PINHEIROS),R OLIVIA FEDER,INTERLAGOS/CASTELO,CET,21.7
2020,12,1,VM,VILA MARIANA,-23.586848,-46.653085,AV. VINTE E TRES DE MAIO (LIBERDADE),VD GAL EUCLIDES DE FIGUEIREDO,AMBOS,CET,25.4
2020,12,1,VP,VILA PRUDENTE,-23.582597,-46.571572,AV. PROF LUIZ IGNACIO ANHAIA MELLO (SAO LUCAS),AV SALIM FARAH MALUF,AMBOS,CET,23.1
2020,12,1,VM,VILA MARIANA,-23.601866,-46.65148,AV. RUBEM BERTA (MOEMA),R DR HABERBECK BRANDAO,SANTANA/AEROPORTO - LOCAL,CET,25.4
2020,12,8,LA,LAPA,-23.523765,-46.701863,R. JEROAQUARA (LAPA),R FAUSTOLO,AMBOS,CET,15.8
2020,12,8,LA,LAPA,-23.519424,-46.674131,PC. PASCOAL MARTINS (BARRA FUNDA),AV MARQ DE SAO VICENTE,BAIRRO/CENTRO,CET,15.8
2020,12,8,LA,LAPA,-23.526435,-46.682228,AV. POMPEIA (BARRA FUNDA),R PALESTRA ITALIA,AMBOS,CET,15.8
2020,12,8,MO,MOOCA,-23.54003,-46.611556,R. JOSE DE ALENCAR,AV. CELSO GARCIA,CENTRO/BAIRRO,CET,18.9
2020,12,8,LA,LAPA,-23.52546,-46.681526,VD. POMPEIA (BARRA FUNDA),AV FRANCISCO MATARAZZO,AMBOS,CET,15.8
2020,12,8,LA,LAPA,-23.529986,-46.67697,PC. MARREY JUNIOR (PERDIZES),ALTURA DO NÚMERO 0,CENTRO/BAIRRO,CET,15.8
2020,12,8,CV,CASA VERDE/CACHOEIRINHA,-23.503907,-46.684676,AV. ANTONIO MUNHOZ BONILHA (LIMAO),AV NSRA DO O,AMBOS,CET,14.3
2020,12,8,CV,CASA VERDE/CACHOEIRINHA,-23.503908,-46.684676,AV. NSRA. DO. O,AV. ANTONIO MUNHOZ BONILHA,BAIRRO/CENTRO,CET,14.3
2020,12,11,IQ,ITAQUERA,-23.53731,-46.457019,R. PDE VIEGAS DE MENEZES,R ITAGIMIRIM,ÚNICA,CET,22.0
2020,12,11,IQ,ITAQUERA,-23.535929,-46.456066,AV. DOS CAMPANELLAS,R PDE VIEGAS DE MENEZES,AMBOS,CET,22.0
2020,12,15,MG,VILA MARIA-VILA GUILHERME,-23.502465,-46.61534,AV. ZAKI NARCHI,ALTURA DO NÚMERO 1720,BAIRRO/CENTRO,CET,17.3
2020,12,19,VM,VILA MARIANA,-23.586848,-46.653085,AV. VINTE E TRES DE MAIO,VD. GAL. EUCLIDES DE FIGUEIREDO,AEROPORTO/SANTANA,CET,14.6
2020,12,20,PI,PINHEIROS,-23.618813,-46.682838,AV. STO AMARO (CAMPO BELO),AV JORN ROBERTO MARINHOVD SANTO AMARO/,UNICO,CET,17.4
2020,12,21,MP,SAO MIGUEL PAULISTA,-23.588199,-46.690533,R. MANOEL B. DE LIMA,AV. MARECHAL TITO ALTURA DO NUMERO 4125,AMBOS,CET,20.4
2020,12,21,MP,SAO MIGUEL PAULISTA,-23.493243,-46.402239,AV. BRAS DA ROCHA CARDOSO,ALTURA DO NÚMERO 658,AMBOS,CET,20.4
2020,12,22,PJ,PIRITUBA/JARAGUA,-23.426886,-46.724778,AV. RAIMUNDO PEREIRA DE MAGALHAES,R. MARIA DA CRUZ CUNHA,BAIRRO/CENTRO,CET,0.2
2020,12,27,PI,PINHEIROS,-23.619162,-46.682743,VD. ENG ANTONIO MOLITERNO (ITAIM BIBI),ALTURA DO NÚMERO 0,UNICO,CET,4.0
2020,12,28,PR,PERUS,-23.510605,-46.609982,PRAÇA INÁCIO DIAS,AV FIORELLO PECCICACCO,UNICO,CET,48.5
2020,12,28,PR,PERUS,-23.510605,-46.609982,R JOAQUIM DE SOUSA,AV FIORELLO PECCICACCO,UNICO,CET,48.5
2020,12,28,PR,PERUS,-23.510605,-46.609982,R JOAO JOSE DE GODOI,AV FIORELLO PECCICACCO,UNICO,CET,48.5
2020,12,28,PR,PERUS,-23.510605,-46.609982,R BERNARDO JOSE DE LORENA,R FRANCIS DE CASTELNAU,UNICO,CET,48.5
2020,12,28,PR,PERUS,-23.510605,-46.609982,R FRANCIS DE CASTELNAU,R BERNARDO JOSE DE LORENA,UNICO,CET,48.5
2020,12,28,CV,CASA VERDE/CACHOEIRINHA,-23.503907,-46.684676,AV. ANTONIO MUNHOZ BONILHA,AV. NSRA. DO. O,AMBOS,CET,36.1
2020,12,28,CV,CASA VERDE/CACHOEIRINHA,-23.503908,-46.684676,AV. NSRA. DO. O,AV. ANTONIO MUNHOZ BONILHA,AMBOS,CET,36.1
2020,12,29,PJ,PIRITUBA/JARAGUA,-23.433186,-46.719947,AV. RAIMUNDO PEREIRA DE MAGALHAES,ALTURA DO NÚMERO 12500,BAIRRO/CENTRO,CET,18.5
2020,12,29,PJ,PIRITUBA/JARAGUA,-23.510605,-46.609982,AV. RAIMUNDO PEREIRA DE MAGALHÃES,ALTURA DO NUMERO 16000,CENTRO/BAIRRO,CET,18.5
2020,12,29,PR,PERUS,-23.407809,-46.734891,AV. RAIMUNDO PEREIRA DE MAGALHAES, ALTUEA DO N.16271,CENTRO/BAIRRO,CET,24.3
2020,12,29,MG,VILA MARIA-VILA GUILHERME,-23.506257,-46.60281,R. MARIA CANDIDA (VILA GUILHERME),ALTURA DO NÚMERO 1277,CENTRO/BAIRRO,CET,8.7
